month,H1N,H3N,sim.history.H1N.lower,sim.history.H1N.mean,sim.history.H1N.upper,sim.history.H3N.lower,sim.history.H3N.mean,sim.history.H3N.upper,Pre.2017.H1N.lower,Pre.2017.H1N.mean,Pre.2017.H1N.upper,Pre.2017.H3N.lower,Pre.2017.H3N.mean,Pre.2017.H3N.upper
2012.75,19294,613348,7E-07,1.32E-05,0.0003697,4.1E-06,0.000144,0.0075582,,,,,,
2012.833333,46758,2930603,3.7E-06,0.0001532,0.0068978,8.8E-05,0.005073,0.3230606,,,,,,
2012.916667,401195,19018474,2.67E-05,0.0013139,0.050134,0.0012787,0.0757468,2.2545647,,,,,,
2013,575671,12287850,0.0001653,0.0092933,0.192934,0.0087702,0.5038498,4.0317457,,,,,,
2013.083333,397031,3577560,0.0006596,0.0278239,0.6634343,0.0368655,0.7564236,3.783045,,,,,,
2013.166667,288598,1239964,0.0007924,0.0283867,0.7061663,0.0208995,0.3478228,1.8621257,,,,,,
2013.25,139426,279410,0.0005049,0.0153988,0.3511487,0.0087413,0.1049713,0.6249929,,,,,,
2013.333333,73252,125309,6.1E-05,0.0071338,0.176025,0,0.0389505,0.2765326,,,,,,
2013.416667,188888,94697,1.7E-05,0.0042493,0.0908103,0.0006548,0.0189958,0.1127025,,,,,,
2013.5,140396,105842,2.47E-05,0.0032349,0.0691405,0,0.0144648,0.0892948,,,,,,
2013.583333,228508,47925,1.27E-05,0.0054389,0.1392325,0.0004102,0.0175552,0.1022926,,,,,,
2013.666667,473945,90811,1.15E-05,0.0179078,0.6635942,0,0.0251586,0.1866618,,,,,,
2013.75,433523,142016,0.0009439,0.103175,3.0218878,0.0034588,0.037648,0.3733722,,,,,,
2013.833333,1696097,128305,0.0029191,0.3687631,4.4062978,0.0039857,0.0448502,0.5694409,,,,,,
2013.916667,13433786,318228,0.0100904,0.6631014,4.8864122,0.0044093,0.0593005,0.9172732,,,,,,
2014,9856739,398192,0.024917,0.6017883,4.3761851,0.0056781,0.1048867,1.2975123,,,,,,
2014.083333,3750209,384973,0.0141039,0.2802526,2.8506941,0.0070588,0.154689,1.2373307,,,,,,
2014.166667,1205988,833531,0.0040997,0.0743163,1.2145852,0.0063519,0.1159117,0.7603397,,,,,,
2014.25,159730,922727,0.0010658,0.0176499,0.3463657,0.003281,0.0590507,0.3872613,,,,,,
2014.333333,32666,655303,0.0001085,0.0052989,0.1019915,0,0.0253136,0.2049662,,,,,,
2014.416667,14449,498793,0,0.0022093,0.0393102,0.0001342,0.014339,0.1081444,,,,,,
2014.5,8278,260292,0,0.0018158,0.0268022,0.0001323,0.0113398,0.0913608,,,,,,
2014.583333,22259,258399,9.1E-06,0.0020668,0.0343938,0,0.0158256,0.1575136,,,,,,
2014.666667,8019,308177,6.4E-06,0.0034876,0.1025139,2.42E-05,0.0381021,0.4578912,,,,,,
2014.75,14646,646989,0.0004738,0.0070321,0.265853,0.0072998,0.1227015,1.4694159,,,,,,
2014.833333,30859,5050796,0.0004752,0.0108256,0.6654275,0.0225825,0.3505461,2.4071583,,,,,,
2014.916667,27316,18427374,0.0007927,0.0188262,0.8283691,0.0607108,0.6588576,2.8625619,,,,,,
2015,23029,11623671,0.0008552,0.0363717,1.3502343,0.0812363,0.6874519,3.1243674,,,,,,
2015.083333,29972,4716538,0.0008761,0.0457661,1.0405971,0.0350341,0.311905,2.0802021,,,,,,
2015.166667,16651,1359466,0.0005302,0.0264687,0.4504058,0.0132439,0.1045661,0.9264981,,,,,,
2015.25,20516,174239,0.0002091,0.0082488,0.1287703,0.0047049,0.0349509,0.3117802,,,,,,
2015.333333,5180,92289,2.06E-05,0.0020939,0.0369696,0.0005809,0.0127382,0.1213594,,,,,,
